2022 Utility Bundled Retail Sales- Transportation;;;;;;
(Data from forms EIA-861- schedules 4A & 4D and EIA-861S);;;;;;
Entity;State;Ownership;Customers (Count);Sales (Megawatthours);Revenues (Thousands Dollars);Average Price (cents/kWh)
City of North Little Rock - (AR);AR;Municipal;1;213;33,0;15,49
Entergy Arkansas LLC;AR;Investor Owned;1;6;0,9;15,00
Salt River Project;AZ;Political Subdivision;1;9.375;866,0;9,24
Tucson Electric Power Co;AZ;Investor Owned;1;829;115,5;13,93
City & County of San Francisco;CA;Municipal;1;93.808;12.338,1;13,15
City of Pasadena - (CA);CA;Municipal;1;6.968;1.322,7;18,98
City of Santa Clara - (CA);CA;Municipal;1;909;172,7;19,00
Los Angeles Department of Water & Power;CA;Municipal;2;105.994;21.078,2;19,89
Sacramento Municipal Util Dist;CA;Political Subdivision;1;26.447;3.889,3;14,71
San Diego Gas & Electric Co;CA;Investor Owned;4;79.128;14.284,5;18,05
WAPA-- Western Area Power Administration;CA;Federal;1;3.691;300,8;8,15
Public Service Co of Colorado;CO;Investor Owned;1;91.360;9.056,8;9,91
Connecticut Light & Power Co;CT;Investor Owned;1;122.654;23.646,7;19,28
United Illuminating Co;CT;Investor Owned;1;11.291;2.251,7;19,94
Florida Power & Light Co;FL;Investor Owned;1;71.178;7.238,7;10,17
JEA;FL;Municipal;1;3.921;415,9;10,61
Georgia Power Co;GA;Investor Owned;1;143.691;13.400,2;9,33
Commonwealth Edison Co;IL;Investor Owned;1;18.518;1.458,7;7,88
Northern Indiana Pub Serv Co;IN;Investor Owned;1;12.518;1.631,0;13,03
Entergy New Orleans, LLC;LA;Investor Owned;1;10.181;1.267,1;12,45
DTE Electric Company;MI;Investor Owned;2;4.320;533,7;12,35
Northern States Power Co - Minnesota;MN;Investor Owned;1;19.941;2.450,2;12,29
Evergy Metro;MO;Investor Owned;1;1.875;214,7;11,45
Union Electric Co - (MO);MO;Investor Owned;1;23.233;2.037,2;8,77
Duke Energy Carolinas, LLC;NC;Investor Owned;1;14.681;1.117,2;7,61
Public Service Elec & Gas Co;NJ;Investor Owned;1;3.450;870,4;25,23
Nevada Power Co;NV;Investor Owned;1;7.176;698,6;9,74
Consolidated Edison Co-NY Inc;NY;Investor Owned;2;10.608;2.237,0;21,09
Long Island Power Authority;NY;State;1;273.792;46.015,6;16,81
New York State Elec & Gas Corp;NY;Investor Owned;1;16.083;2.096,5;13,04
Dayton Power & Light Co;OH;Investor Owned;1;2.805;275,0;9,80
PacifiCorp;OR;Investor Owned;1;14.346;1.538,1;10,72
Portland General Electric Co;OR;Investor Owned;1;8.353;834,0;9,98
PECO Energy Co;PA;Investor Owned;1;992;88,0;8,87
West Penn Power Company;PA;Investor Owned;1;6.074;709,7;11,68
ENGIE Resources LLC;TX;Retail Power Marketer;1;11.481;420,6;3,66
Texas General Land Office;TX;Retail Power Marketer;2;168.171;11.838,0;7,04
PacifiCorp;UT;Investor Owned;1;46.004;5.693,7;12,38
Virginia Electric & Power Co;VA;Investor Owned;1;129.802;14.086,9;10,85
City of Seattle - (WA);WA;Municipal;3;108.029;10.789,4;9,99
City of Tacoma - (WA);WA;Municipal;1;767;66,7;8,70
Puget Sound Energy Inc;WA;Investor Owned;1;5.137;591,2;11,51
Wisconsin Electric Power Co;WI;Investor Owned;2;1.101;182,2;16,55